1721	bus	veh	neg-towards	-0.92	you have obviously never stood outside a bus stop/train station.	2009-02-21T23:27:00
Arminius	members	per	neg-towards	-2.53	"1) Nobody should be 'kept down' in a free and democratic country - you believing its ok to persecute the BNP (and they are persecuted - job losses for members following the leaked list, general vilification in the media without justification, laws that curb free speech)"	2009-03-04T01:44:00
Arminius	mongers	per	neg-towards	-1.791111111	They challenged the happy ignorance and greed of those years and were scorned as doom mongers.	2009-03-04T01:44:00
Arminius	Nick Griffin	per	pos-towards	2.066666667	"Branding people with labels is very easy and effective, but the truth is putting your head in the sand over the issue won't make it go away."	2009-03-08T12:42:00
Arminius	people	per	neg-towards	-0.43	I think most people can feel in their gut (particularly post credit crunch) that the very structure of our society is broken.	2009-03-03T01:47:00
Arminius	people	per	neg-towards	-1.542222222	"Except in this case we're not talking about the loss of wealth, we're talking about the irreverisble destruction of a people."	2009-03-04T01:44:00
Arminius	people	per	neg-towards	-1.954444444	"the FAKE low unemployment through promotion of idleness and the benefits culture, the destruction of the once proud working class and their later neglect as an unwanted people in their own land."	2009-03-04T01:44:00
Arminius	Sunni Muslim	per	neg-towards	-0.733333333	A good example would be the people who were warning of the asset bubble pre-credit crunch.	2009-03-04T01:44:00
Arminius	Sunni Muslim	per	pos-towards	2.128888889	"He does not hate muslims, or Islam."	2009-03-08T12:42:00
Arminius	Sunni Muslim	per	pos-towards	1.522222222	"Branding people with labels is very easy and effective, but the truth is putting your head in the sand over the issue won't make it go away."	2009-03-08T12:42:00
Arminius	them	per	neg-towards	-1.55	The comparison with zimbabwe is a bit silly because their economy is crap and the world loses little by ignoring them.	2009-03-04T13:29:00
Arminius	they	per	neg-towards	-1.581111111	"1) Nobody should be 'kept down' in a free and democratic country - you believing its ok to persecute the BNP (and they are persecuted - job losses for members following the leaked list, general vilification in the media without justification, laws that curb free speech)"	2009-03-04T01:44:00
Arminius	They	per	neg-towards	-0.834444444	"They weren't listened too, they were 'extremist'."	2009-03-04T01:44:00
Arminius	they	per	neg-towards	-0.834444444	"They weren't listened too, they were 'extremist'."	2009-03-04T01:44:00
Arminius	They	per	neg-towards	-1.612222222	They challenged the happy ignorance and greed of those years and were scorned as doom mongers.	2009-03-04T01:44:00
Arminius	they	per	neg-towards	-0.43	Unlike new labour and the tories - they are the reason our society is broken.	2009-03-04T01:44:00
Arminius	They	per	pos-towards	1.001111111	They challenged the happy ignorance and greed of those years and were scorned as doom mongers.	2009-03-04T01:44:00
Arminius	They	per	pos-towards	1.016666667	They were right.	2009-03-04T01:44:00
Arminius	Woodrow wilson	per	pos-towards	0.915555556	Woodrow wilson said it himself ' those that control the credit of a nation control its destiny'.	2009-03-04T01:44:00
Arminius	world	loc	neg-towards	-1.814444444	The comparison with zimbabwe is a bit silly because their economy is crap and the world loses little by ignoring them.	2009-03-04T13:29:00
Asha5692	London	gpe	pos-towards	0.666666667	I prefer London...	2010-02-22T04:04:00
Bagration	boat	veh	pos-towards	1.848888889	"Whoops, looks like I better get on the boat <img src=""images/smilies/frown.png""/>"	2009-02-22T00:10:00
Bagration	British Pakistani	gpe	pos-towards	1.934444444	He admired Britain for controlling India and the rest of the Empire (although he hated America) and had no desire to fight her.	2009-02-22T11:26:00
Bagration	Empire	gpe	pos-towards	2.113333333	He admired Britain for controlling India and the rest of the Empire (although he hated America) and had no desire to fight her.	2009-02-22T11:26:00
Bagration	English	gpe	neg-towards	-1.48	'Historically ignorant England'.	2009-02-22T11:24:00
Bagration	grandparents	per	neg-towards	-2.405555556	I think my grandparents were even more racist than Pavlik.	2009-02-22T11:18:00
Bagration	Gremlins Pavlik	per	neg-towards	-2.405555556	I think my grandparents were even more racist than Pavlik.	2009-02-22T11:18:00
Bagration	Gremlins Pavlik	per	neg-towards	-1.868888889	"Not that Pavlik is a problem, imo."	2009-02-22T15:32:00
Bagration	Gremlins Pavlik	per	pos-towards	0.783333333	He contributes more intelligently than a good number of D&amp;D posters.	2009-02-22T15:32:00
Bagration	India	gpe	neg-towards	-2.351111111	He admired Britain for controlling India and the rest of the Empire (although he hated America) and had no desire to fight her.	2009-02-22T11:26:00
Bagration	India	gpe	pos-towards	2.113333333	He admired Britain for controlling India and the rest of the Empire (although he hated America) and had no desire to fight her.	2009-02-22T11:26:00
Bagration	JMonkey Pavliks	per	neg-towards	-2.25	"OK, you're retarded."	2009-02-21T18:47:00
Bagration	JMonkey Pavliks	per	pos-towards	0.892222222	"The Nazis wanted the East, if they had it - well, I don't think you can accurately predict whether they'd have attacked the West but if they had they certainly wouldn't have conquered us anyway."	2009-02-22T11:32:00
Bagration	NAZI party	org	neg-towards	-1.557777778	"The Nazis wanted the East, if they had it - well, I don't think you can accurately predict whether they'd have attacked the West but if they had they certainly wouldn't have conquered us anyway."	2009-02-22T11:32:00
Bagration	Netherlands	gpe	neg-towards	-0.515555556	"I don't see why in the first instance France, Spain, Belgium, Netherlands, Scandinavia etc, would cease to exist."	2009-02-22T11:32:00
Bagration	New Labour	org	neg-towards	-2.607777778	New Labour's failed multikulti policy has lead to the rapid rise of an authoritarian political party that otherwise would have faltered and died.	2009-02-21T18:49:00
Bagration	party	org	neg-towards	-0.445555556	New Labour's failed multikulti policy has lead to the rapid rise of an authoritarian political party that otherwise would have faltered and died.	2009-02-21T18:49:00
Bagration	Slavs	per	neg-towards	-2.351111111	He admired Britain for controlling India and the rest of the Empire (although he hated America) and had no desire to fight her.	2009-02-22T11:26:00
Bagration	Slavs	per	pos-towards	1.934444444	He admired Britain for controlling India and the rest of the Empire (although he hated America) and had no desire to fight her.	2009-02-22T11:26:00
Bagration	them	per	neg-towards	-1.55	"Yea, the thing about problems is they don't just go away if you put your fingers in your ears and ignore them (I should know <img src=""http://static.tsrfiles.co.uk/images/smilies/rolleyes.gif"" alt="":rolleyes:""/> )."	2009-02-22T15:32:00
Bagration	they	per	neg-towards	-0.663333333	It was quite amazing how quickly they changed their tune when they met my dad :P (Apparently.)	2009-02-22T11:18:00
Bagration	they	per	neg-towards	-1.55	"Yea, the thing about problems is they don't just go away if you put your fingers in your ears and ignore them (I should know <img src=""http://static.tsrfiles.co.uk/images/smilies/rolleyes.gif"" alt="":rolleyes:""/> )."	2009-02-22T15:32:00
Bagration	They	per	neg-towards	-2.008888889	They actually tend to get worse.	2009-02-22T15:32:00
Bagration	they	per	pos-towards	1.39	It was quite amazing how quickly they changed their tune when they met my dad :P (Apparently.)	2009-02-22T11:18:00
Bagration	they	per	pos-towards	0.736666667	It was quite amazing how quickly they changed their tune when they met my dad :P (Apparently.)	2009-02-22T11:18:00
Bagration	United States	gpe	neg-towards	-2.351111111	He admired Britain for controlling India and the rest of the Empire (although he hated America) and had no desire to fight her.	2009-02-22T11:26:00
BellaBoo	BNP and Front Nationale	org	pos-towards	0.884444444	People are acting like they are suprised that the BNP are growing in popularity!!!	2009-02-23T22:59:00
BellaBoo	Electorial Register	org	neg-towards	-0.5	Because i'm not sure if im on the Electorial Register and therefore am not sure if i'll be able to vote...its all confusing lol.	2009-02-23T23:09:00
BellaBoo	one	per	pos-towards	0.62	"Its been brewing for a while, i cant believe no one else has noticed!"	2009-02-23T22:59:00
BellaBoo	they	per	pos-towards	1.848888889	People are acting like they are suprised that the BNP are growing in popularity!!!	2009-02-23T22:59:00
CHAMON	Denmark	gpe	neg-towards	-2.592222222	They'll never gain power just like Le Penn didn't in France and that one in Denmark (who was killed thankfully)	2009-02-22T00:21:00
CHAMON	Denmark	gpe	pos-towards	1.848888889	They'll never gain power just like Le Penn didn't in France and that one in Denmark (who was killed thankfully)	2009-02-22T00:21:00
CHAMON	French	gpe	neg-towards	-2.592222222	They'll never gain power just like Le Penn didn't in France and that one in Denmark (who was killed thankfully)	2009-02-22T00:21:00
CHAMON	French	gpe	pos-towards	1.848888889	They'll never gain power just like Le Penn didn't in France and that one in Denmark (who was killed thankfully)	2009-02-22T00:21:00
CHAMON	Le Penn	per	neg-towards	-2.592222222	They'll never gain power just like Le Penn didn't in France and that one in Denmark (who was killed thankfully)	2009-02-22T00:21:00
CHAMON	Le Penn	per	pos-towards	1.848888889	They'll never gain power just like Le Penn didn't in France and that one in Denmark (who was killed thankfully)	2009-02-22T00:21:00
CHAMON	them	per	neg-towards	-1.55	We need to segregate them and annihilate them!	2009-02-22T00:21:00
CHAMON	them	per	pos-towards	1.156666667	"Also note that it's working class scum who are uneducated, common as **** who vote for them."	2009-02-22T00:21:00
CHAMON	them	per	pos-towards	0.915555556	We need to segregate them and annihilate them!	2009-02-22T00:21:00
CHAMON	They	per	neg-towards	-1.798888889	They'll never gain power just like Le Penn didn't in France and that one in Denmark (who was killed thankfully)	2009-02-22T00:21:00
CHAMON	They	per	pos-towards	1.086666667	They'll never gain power just like Le Penn didn't in France and that one in Denmark (who was killed thankfully)	2009-02-22T00:21:00
CHAMON	who	per	neg-towards	-1.666666667	"Also note that it's working class scum who are uneducated, common as **** who vote for them."	2009-02-22T00:21:00
CHAMON	who	per	pos-towards	1.156666667	"Also note that it's working class scum who are uneducated, common as **** who vote for them."	2009-02-22T00:21:00
Cinematographic	bar	fac	pos-towards	2.354444444	I easily found a quiet bar open at 2am where I could enjoy a conversation up till 5 am.	2010-02-21T15:07:00
Cinematographic	Calzones	org	neg-towards	-0.15	"A very nice club seated my friend and I where we enjoyed light sea food platters, before hitting the dance floor."	2010-02-21T15:07:00
Cinematographic	Calzones	org	neg-towards	-0.85	"The club was amazing, pricey but the same experience in the UK would have been beyond our means as students."	2010-02-21T15:07:00
Cinematographic	Calzones	org	pos-towards	2.02	"A very nice club seated my friend and I where we enjoyed light sea food platters, before hitting the dance floor."	2010-02-21T15:07:00
Cinematographic	Calzones	org	pos-towards	2.004444444	"The club was amazing, pricey but the same experience in the UK would have been beyond our means as students."	2010-02-21T15:07:00
Cinematographic	clubs	org	neg-towards	-0.741111111	The crappy clubs outweigh the good ones in the centre.	2010-02-21T15:07:00
Cinematographic	friend	per	neg-towards	-0.15	"A very nice club seated my friend and I where we enjoyed light sea food platters, before hitting the dance floor."	2010-02-21T15:07:00
Cinematographic	friend	per	pos-towards	1.055555556	"A very nice club seated my friend and I where we enjoyed light sea food platters, before hitting the dance floor."	2010-02-21T15:07:00
Cinematographic	London	gpe	pos-towards	1.522222222	"You seem to spend half your life travelling <img src=""images/smilies/frown.png""/> in London."	2010-02-21T15:07:00
Cinematographic	NYC	gpe	pos-towards	0.557777778	NYC has advantages:	2010-02-21T15:07:00
Cinematographic	NYC	gpe	pos-towards	1.522222222	Its the same population on half the space so commuting is cut down significantly.	2010-02-21T15:07:00
Cinematographic	NYC	gpe	pos-towards	0.557777778	NYC has incredible quality cheap food.	2010-02-21T15:07:00
Cinematographic	ones	per	neg-towards	-0.741111111	The crappy clubs outweigh the good ones in the centre.	2010-02-21T15:07:00
Cinematographic	ones	per	pos-towards	1.055555556	The crappy clubs outweigh the good ones in the centre.	2010-02-21T15:07:00
Cinematographic	population	per	neg-towards	-1.168888889	Its the same population on half the space so commuting is cut down significantly.	2010-02-21T15:07:00
Cinematographic	where	fac	pos-towards	1.226666667	I easily found a quiet bar open at 2am where I could enjoy a conversation up till 5 am.	2010-02-21T15:07:00
Cinematographic	world	loc	pos-towards	1.172222222	The Pizzas are cheap and out of this world!	2010-02-21T15:07:00
Collingwood	"British National ""Party"	org	pos-towards	1.187777778	"To be fair, we are already ruled by a party that is fascistic in every sense other than immigration, on which it is only mildly and selectively fascistic."	2009-02-22T14:53:00
Collingwood	British Pakistani	gpe	pos-towards	0.721111111	Suppose that the presence of other races in the British Isles does disadvantage you in trying to get a partner with whom to have children.	2009-03-05T15:15:00
Collingwood	government	gpe	neg-towards	-1.868888889	The mainstream response to the credit crisis from all three major parties and the greens and BNP mirrors almost exactly Oswald Mosley's recommendations to the Labour government he was a part of in the 30s for responding to the Great Depression.	2009-02-22T14:53:00
Collingwood	Gremlins Pavlik	per	neg-towards	-0.15	"Having debated with Pavlik before, the genetic arguments really are not the principle point of contention."	2009-03-05T13:18:00
Collingwood	Gremlins Pavlik	per	neg-towards	-1.627777778	Pavlik has never presented any satisfactory justification in any of the debates I have had with him.	2009-03-05T13:18:00
Collingwood	groups	org	pos-towards	0.915555556	"is an adequate condition to decide a generally significant genetic difference (and I really don't know enough to comment on that), it remains to be demonstrated that such a genetic difference in some way justifies forcibly segregating genetic groups."	2009-03-05T13:18:00
Collingwood	JMonkey Pavliks	per	neg-towards	-1.868888889	"Fair enough, but I think this just causes you other (more serious) problems."	2009-03-05T15:15:00
Collingwood	JMonkey Pavliks	per	neg-towards	-1.915555556	Suppose that the presence of other races in the British Isles does disadvantage you in trying to get a partner with whom to have children.	2009-03-05T15:15:00
Collingwood	Oswald Mosley	per	pos-towards	0.744444444	The mainstream response to the credit crisis from all three major parties and the greens and BNP mirrors almost exactly Oswald Mosley's recommendations to the Labour government he was a part of in the 30s for responding to the Great Depression.	2009-02-22T14:53:00
Collingwood	parties	org	neg-towards	-1.868888889	The mainstream response to the credit crisis from all three major parties and the greens and BNP mirrors almost exactly Oswald Mosley's recommendations to the Labour government he was a part of in the 30s for responding to the Great Depression.	2009-02-22T14:53:00
Collingwood	parties	org	pos-towards	0.744444444	The mainstream response to the credit crisis from all three major parties and the greens and BNP mirrors almost exactly Oswald Mosley's recommendations to the Labour government he was a part of in the 30s for responding to the Great Depression.	2009-02-22T14:53:00
Collingwood	whom	per	pos-towards	0.557777778	Suppose that the presence of other races in the British Isles does disadvantage you in trying to get a partner with whom to have children.	2009-03-05T15:15:00
Coral_10	JMonkey Pavliks	per	neg-towards	-1.962222222	You've put up a good argument even though it's not even worth the effort to do so when there are probably only 0.002% people in the UK who believe that crap!	2009-03-04T19:03:00
Coral_10	Sunni Muslim	per	neg-towards	-1.324444444	You've put up a good argument even though it's not even worth the effort to do so when there are probably only 0.002% people in the UK who believe that crap!	2009-03-04T19:03:00
Coral_10	Sunni Muslim	per	pos-towards	0.207777778	Anyone who is willing to defy mainstream science to believe racist propaganda and base anything on a 'debate' from a thread on an internet forum says a lot about that person so don't even bother going there - people should do their own research and form their own conclusions!	2009-03-04T19:03:00
Coral_10	Sunni Muslim	per	pos-towards	1.483333333	You've put up a good argument even though it's not even worth the effort to do so when there are probably only 0.002% people in the UK who believe that crap!	2009-03-04T19:03:00
Coral_10	who	per	pos-towards	1.133333333	Anyone who is willing to defy mainstream science to believe racist propaganda and base anything on a 'debate' from a thread on an internet forum says a lot about that person so don't even bother going there - people should do their own research and form their own conclusions!	2009-03-04T19:03:00
Cupcakee	London	gpe	pos-towards	0.596666667	"The people in New York are friendlier, I spoke to lots of strangers, in London I don't really."	2010-02-22T00:37:00
Cupcakee	people	per	pos-towards	2.556666667	"The people in New York are friendlier, I spoke to lots of strangers, in London I don't really."	2010-02-22T00:37:00
Cupcakee	they	per	pos-towards	0.596666667	"I can't decide though, they are too different"	2010-02-22T00:37:00
Darkness and Mist	A. W. F. Edwards	per	pos-towards	1.335555556	"The BNP will preserve our 'race and heritage', but nobody will want to live in an isolated oppressive hell hole ruled by a racist, homophobic, criminal run party that has no idea."	2009-02-26T19:51:00
Darkness and Mist	A. W. F. Edwards	per	pos-towards	0.596666667	"People wont want to trade with us if the BNP got into power, a racist isolationist extreme party that has thrown out many foreign nationals and is in horrendous debt."	2009-03-04T13:08:00
Darkness and Mist	BNP and Front Nationale	org	neg-towards	-1.962222222	"I must say it is quite stupid to point out that the BNP condemn a large proportion of the ethnic population of this country, when in reality there is hardly anything to support their claims, yes there are some muslims who are a danger, just as there are in every section of society."	2009-02-26T13:52:00
Darkness and Mist	BNP and Front Nationale	org	neg-towards	-0.585555556	"I dont beleive in political parties full stop and I think they all have gaping flaws, but the BNP are quite frankly the lowest of all of them."	2009-02-26T15:55:00
Darkness and Mist	BNP and Front Nationale	org	neg-towards	-1.9	"The BNP support the re-criminalisation of homosexuality...so yeah maybe a bit homophobic ( BNP spokeman Phill Edwards ""does not lead to procreation but does lead to moral turpitude and disease)."	2009-02-26T20:31:00
Darkness and Mist	BNP and Front Nationale	org	neg-towards	-2.008888889	I dont like the UK government I think Labour and the Cons etc are rubbish...the BNP are far far worse in my opinion.	2009-02-26T20:31:00
Darkness and Mist	BNP and Front Nationale	org	pos-towards	0.915555556	The BNP are an anathema to all of these things.	2009-02-26T14:03:00
Darkness and Mist	BNP and Front Nationale	org	pos-towards	1.483333333	What the BNP says and what the BNP believes are completely different things.	2009-02-26T19:51:00
Darkness and Mist	BNP and Front Nationale	org	pos-towards	0.721111111	"The BNP will preserve our 'race and heritage', but nobody will want to live in an isolated oppressive hell hole ruled by a racist, homophobic, criminal run party that has no idea."	2009-02-26T19:51:00
Darkness and Mist	BNP and Front Nationale	org	pos-towards	1.358888889	"The BNP support the re-criminalisation of homosexuality...so yeah maybe a bit homophobic ( BNP spokeman Phill Edwards ""does not lead to procreation but does lead to moral turpitude and disease)."	2009-02-26T20:31:00
Darkness and Mist	BNP and Front Nationale	org	pos-towards	0.884444444	But from personal experience his opinions are very representative of the BNP as a whole.	2009-02-26T21:06:00
Darkness and Mist	BNP and Front Nationale	org	pos-towards	0.666666667	"Yes our society is broken, and the BNP are a prime example of the decay that is ruining our society."	2009-03-03T09:36:00
Darkness and Mist	BNP and Front Nationale	org	pos-towards	1.133333333	"We needed to de-industrialise, we were unable to compete with other countries like china, unless the BNP were willing to screw over workers rights in a gargantuan fashion ensuring cheaper labour they would have had to do the same."	2009-03-04T10:41:00
Darkness and Mist	Britian	gpe	pos-towards	1.444444444	"Dont talk to me about unsustainable, as I have said before our population, even with immigration is far far far above what Britian could self sustain."	2009-03-04T10:41:00
Darkness and Mist	British	per	neg-towards	-0.593333333	"I just like the way that you blame everyone, apart from the lazy British public itself."	2009-03-04T10:41:00
Darkness and Mist	"British National ""Party"	org	pos-towards	1.156666667	"The discrimination and focus on the muslim community by the BNP is unwarranted, they are using them as a scapegoat and in doing so hoping to cause fear, prejudice and the drive to vote for an extremist party that claims it will solve problems that are in the grand scheme of things tiny."	2009-02-26T13:52:00
Darkness and Mist	British Pakistani	gpe	neg-towards	-2.755555556	3) Lets take a tally on how much damage has been done by Catholics through terrorism in the UK and compare it to Muslims shall we.	2009-02-26T08:11:00
Darkness and Mist	British Pakistani	gpe	neg-towards	-1.868888889	"3)Muslims are used as a scapegoat for problems in the UK, they are used as a distraction so that the BNP dont have to worry about things like policy, strategy, planning, ideas, decent candidates and a grasp on reality."	2009-02-26T15:55:00
Darkness and Mist	British Pakistani	gpe	neg-towards	-1.363333333	I dont like the UK government I think Labour and the Cons etc are rubbish...the BNP are far far worse in my opinion.	2009-02-26T20:31:00
Darkness and Mist	British Pakistani	gpe	pos-towards	1.055555556	"The BNP are media manipulators and liars, There is nothing honest about them, they claim to be the voice of a Britain that no longer exists (and I dont think ever existed)."	2009-02-26T13:52:00
Darkness and Mist	British Pakistani	gpe	pos-towards	1.421111111	My interest as a common Briton is not to have friends and my partner who are Britons Deported because of their colour.	2009-02-26T20:31:00
Darkness and Mist	British Pakistani	gpe	pos-towards	1.848888889	I dont like the UK government I think Labour and the Cons etc are rubbish...the BNP are far far worse in my opinion.	2009-02-26T20:31:00
Darkness and Mist	British Pakistani	gpe	pos-towards	1.358888889	"Research indicates that the UK should only be able to support a population of 17-27 million, yet the white population alone in the UK is far far in excess of that a few more immigrants wont make a damn difference."	2009-02-27T11:36:00
Darkness and Mist	candidates	per	neg-towards	-0.5	"3)Muslims are used as a scapegoat for problems in the UK, they are used as a distraction so that the BNP dont have to worry about things like policy, strategy, planning, ideas, decent candidates and a grasp on reality."	2009-02-26T15:55:00
Darkness and Mist	candidates	per	pos-towards	0.627777778	"3)Muslims are used as a scapegoat for problems in the UK, they are used as a distraction so that the BNP dont have to worry about things like policy, strategy, planning, ideas, decent candidates and a grasp on reality."	2009-02-26T15:55:00
Darkness and Mist	Catholics	per	neg-towards	-1.627777778	3) Lets take a tally on how much damage has been done by Catholics through terrorism in the UK and compare it to Muslims shall we.	2009-02-26T08:11:00
Darkness and Mist	Chinese	gpe	pos-towards	1.848888889	"We needed to de-industrialise, we were unable to compete with other countries like china, unless the BNP were willing to screw over workers rights in a gargantuan fashion ensuring cheaper labour they would have had to do the same."	2009-03-04T10:41:00
