(:Becca(:	Seattle	gpe	pos-towards	1.094444444	"Seattle is nice <img src=""images/smilies/smile.png""/>"	2011-07-30T20:26:00
AusRoy	party	org	neg-towards	-1.293333333	No political party should be banned as long as they are operating non-violently.	2009-02-21T15:39:00
AusRoy	people	per	pos-towards	0.806666667	"Walk into any pub in the land, and ask people ""Lay people"" if they agree with things like "" Stopping more Immigration"" or ""Sending asylum seekers home"" etc etc (the Usual simplistic rhetoric) and you would find so many people who agree."	2009-02-21T15:39:00
AusRoy	pub	fac	pos-towards	1.265555556	"Walk into any pub in the land, and ask people ""Lay people"" if they agree with things like "" Stopping more Immigration"" or ""Sending asylum seekers home"" etc etc (the Usual simplistic rhetoric) and you would find so many people who agree."	2009-02-21T15:39:00
AusRoy	they	per	neg-towards	-2.257777778	"Let everyone vote for whoever the hell they want, and let the best party with the most votes win."	2009-02-21T15:09:00
AusRoy	who	per	pos-towards	1.444444444	"Walk into any pub in the land, and ask people ""Lay people"" if they agree with things like "" Stopping more Immigration"" or ""Sending asylum seekers home"" etc etc (the Usual simplistic rhetoric) and you would find so many people who agree."	2009-02-21T15:39:00
Aust1n	areas	loc	pos-towards	1.397777778	Zurich is really nice too when the weather is good; it has such fantastic countryside in the surrounding areas.	2011-10-04T16:39:00
Aust1n	beach	loc	neg-towards	-0.748888889	"However, Barcelona trumps on the fact is has a beach, and every time you come out of a tube station there's a skate spot!"	2011-10-04T16:39:00
Aust1n	Budapast	gpe	pos-towards	1.094444444	The nicest I have been to are either Barcelona or Budapast.	2011-10-04T16:39:00
Aust1n	Zurich	gpe	pos-towards	1.094444444	Zurich is really nice too when the weather is good; it has such fantastic countryside in the surrounding areas.	2011-10-04T16:39:00
Bill_Gates	cities	gpe	pos-towards	1.794444444	"You have Birmingham, Manchester, Nottingham etc all thriving cities."	2011-08-17T12:34:00
Bill_Gates	Nottingham	org	neg-towards	-0.15	"You have Birmingham, Manchester, Nottingham etc all thriving cities."	2011-08-17T12:34:00
Bill_Gates	Nottingham	org	pos-towards	1.794444444	"You have Birmingham, Manchester, Nottingham etc all thriving cities."	2011-08-17T12:34:00
billydisco	aren	per	pos-towards	0.9	You're going on about 'my child' when ive mentioned 2 random people you aren related to.	2009-02-21T18:31:00
billydisco	BNP and Front Nationale	org	neg-towards	-1.511111111	"If the BNP cause the downfall of the Labour party then i hope they do well, but not as well as the Tories....."	2009-02-21T17:13:00
billydisco	guys	per	pos-towards	0.557777778	If you guys actually had a little intelligence you could actually win quite a few seats.	2009-02-21T17:46:00
billydisco	headquarters	fac	pos-towards	1.156666667	"Votes of bankers, benefits cheats, car workers, people in towns such as Blackpool, Glasgow, Swansea, Newcastle and any other Labour town theyve placed a Government department headquarters in....."	2009-02-21T17:18:00
billydisco	India	gpe	neg-towards	-0.647777778	"However, the argument of kicking out indian people who are such kind and warming people to Britain (considering we took their country), simply because they aren't white is just pathetic!"	2009-02-23T02:17:00
billydisco	JMonkey Pavliks	per	neg-towards	-0.818888889	"This is why you wont get votes, you're too extremist."	2009-02-21T17:46:00
billydisco	JMonkey Pavliks	per	neg-towards	-0.15	If you guys actually had a little intelligence you could actually win quite a few seats.	2009-02-21T17:46:00
billydisco	JMonkey Pavliks	per	neg-towards	-1.363333333	Jeez you talk some rubbish!	2009-02-23T16:50:00
billydisco	JMonkey Pavliks	per	neg-towards	-0.243333333	"To be honest you're not exactly the brightest bulb in the xmas tree, so for sake of humanity we probably dont want that.........."	2009-02-23T20:38:00
billydisco	JMonkey Pavliks	per	pos-towards	2.517777778	If you guys actually had a little intelligence you could actually win quite a few seats.	2009-02-21T17:46:00
billydisco	JMonkey Pavliks	per	pos-towards	0.557777778	"So basically you would rather have a white northern benefit cheat living here, rather than a hard working indian because the indian is not white or 'properly' British........"	2009-02-21T17:59:00
billydisco	JMonkey Pavliks	per	pos-towards	0.697777778	You're going on about 'my child' when ive mentioned 2 random people you aren related to.	2009-02-21T18:31:00
billydisco	JMonkey Pavliks	per	pos-towards	1.848888889	"You're not of British descent, like most of us so what you say is quite hillarious!"	2009-02-21T19:03:00
billydisco	JMonkey Pavliks	per	pos-towards	1.833333333	"To be honest you're not exactly the brightest bulb in the xmas tree, so for sake of humanity we probably dont want that.........."	2009-02-23T20:38:00
billydisco	Mate	per	neg-towards	-1.067777778	Thats where your party falters mate and makes you lot look a laughing stock........	2009-02-21T17:59:00
billydisco	New Labour	org	neg-towards	-1.511111111	"If the BNP cause the downfall of the Labour party then i hope they do well, but not as well as the Tories....."	2009-02-21T17:13:00
billydisco	party	org	neg-towards	-1.067777778	Thats where your party falters mate and makes you lot look a laughing stock........	2009-02-21T17:59:00
billydisco	party	org	pos-towards	1.343333333	Thats where your party falters mate and makes you lot look a laughing stock........	2009-02-21T17:59:00
billydisco	people	per	neg-towards	-1.627777778	"Votes of bankers, benefits cheats, car workers, people in towns such as Blackpool, Glasgow, Swansea, Newcastle and any other Labour town theyve placed a Government department headquarters in....."	2009-02-21T17:18:00
billydisco	romans	per	pos-towards	0.985555556	"Pavlic all the scottish people are more British than you, they are the descendents of the original celts who fled when the romans arrived."	2009-02-21T19:03:00
billydisco	them	per	neg-towards	-0.647777778	"Kick them out, they're not British- oh wait a minute, nor am i really"	2009-02-21T19:03:00
billydisco	who	per	pos-towards	0.985555556	"Pavlic all the scottish people are more British than you, they are the descendents of the original celts who fled when the romans arrived."	2009-02-21T19:03:00
billydisco	workers	per	neg-towards	-1.627777778	"Votes of bankers, benefits cheats, car workers, people in towns such as Blackpool, Glasgow, Swansea, Newcastle and any other Labour town theyve placed a Government department headquarters in....."	2009-02-21T17:18:00
Blueflare	England	gpe	pos-towards	1.848888889	The country is not a dump but it has places that are (just like every country in the world).	2011-07-30T20:33:00
Blueflare	world	loc	neg-towards	-1.487777778	"I can imagine them no longer being the dominant country in the world in the coming decades but still behaving as if they are and obsessing about their past ""glory""."	2011-07-30T20:33:00
blueray	you	per	neg-towards	-0.461111111	"you don't need damn sky scrapers with flashing lights all the time, when their country is about to go over the rails even more <img src=""http://static.tsrfiles.co.uk/images/smilies/sigh.gif"" alt="":sigh:""/>"	2011-08-01T20:48:00
blueray	you	per	pos-towards	-0.461111111	"you don't need damn sky scrapers with flashing lights all the time, when their country is about to go over the rails even more <img src=""http://static.tsrfiles.co.uk/images/smilies/sigh.gif"" alt="":sigh:""/>"	2011-08-01T20:48:00
bob247	Birmingham	gpe	pos-towards	1.848888889	"The 'big' cities like Birmingham and Manchester and Glasgow are huge dumps with high level of unemployment, fat ugly girls and horrible accents."	2011-07-30T20:43:00
bob247	cities	gpe	neg-towards	-1.503333333	"The 'big' cities like Birmingham and Manchester and Glasgow are huge dumps with high level of unemployment, fat ugly girls and horrible accents."	2011-07-30T20:43:00
bob247	girls	per	neg-towards	-2.195555556	"The 'big' cities like Birmingham and Manchester and Glasgow are huge dumps with high level of unemployment, fat ugly girls and horrible accents."	2011-07-30T20:43:00
bob247	girls	per	pos-towards	1.04	"The 'big' cities like Birmingham and Manchester and Glasgow are huge dumps with high level of unemployment, fat ugly girls and horrible accents."	2011-07-30T20:43:00
captnibby1234	Asians	per	neg-towards	-1.697777778	Asians and Blacks will start huge riots across the UK and then THIS will lead to a CIVIL WAR.	2009-02-21T15:27:00
captnibby1234	BNP and Front Nationale	org	neg-towards	-0.647777778	"As the BNP will kick out every single non white person whether born here or not, this will MASSIVELY crumble the economy. 10s of millions of jobs will be lost."	2009-02-21T15:27:00
captnibby1234	BNP and Front Nationale	org	neg-towards	-1.511111111	"No my friend, the BNP will bring about its own downfall and the downfall of the UK by winning in the first place. <img src=""http://static.tsrfiles.co.uk/images/smilies/rolleyes.gif"" alt="":rolleyes:""/>"	2009-02-21T15:27:00
captnibby1234	BNP and Front Nationale	org	pos-towards	2.02	"No my friend, the BNP will bring about its own downfall and the downfall of the UK by winning in the first place. <img src=""http://static.tsrfiles.co.uk/images/smilies/rolleyes.gif"" alt="":rolleyes:""/>"	2009-02-21T15:27:00
captnibby1234	British Pakistani	gpe	neg-towards	-1.168888889	Obama will cut ALL relationships with the UK no doubt about that.	2009-02-21T15:27:00
captnibby1234	British Pakistani	gpe	neg-towards	-1.697777778	Asians and Blacks will start huge riots across the UK and then THIS will lead to a CIVIL WAR.	2009-02-21T15:27:00
captnibby1234	British Pakistani	gpe	neg-towards	-1.511111111	"No my friend, the BNP will bring about its own downfall and the downfall of the UK by winning in the first place. <img src=""http://static.tsrfiles.co.uk/images/smilies/rolleyes.gif"" alt="":rolleyes:""/>"	2009-02-21T15:27:00
captnibby1234	British Pakistani	gpe	pos-towards	2.02	The USA will immediately cease to be friends with the UK under Obama.	2009-02-21T15:27:00
captnibby1234	British Pakistani	gpe	pos-towards	2.09	Obama will cut ALL relationships with the UK no doubt about that.	2009-02-21T15:27:00
captnibby1234	British Pakistani	gpe	pos-towards	1.81	The Good thing? Britain is for british people again!	2009-02-21T15:27:00
captnibby1234	British Pakistani	gpe	pos-towards	1.848888889	"You forgot to say 10s of millions considering the UK has like 80% foreign investment. <img src=""http://static.tsrfiles.co.uk/images/smilies/woo.gif"" alt="":woo:""/>"	2009-02-21T19:37:00
captnibby1234	JMonkey Pavliks	per	neg-towards	-1.114444444	"Iam white and I have an asian girlfriend so you can SUCK ON THAT BITCH <img src=""http://static.tsrfiles.co.uk/images/smilies/cool.gif"" alt="":cool:""/>"	2009-02-21T19:27:00
captnibby1234	JMonkey Pavliks	per	neg-towards	-2.405555556	Take your racist crap to someone who CARES	2009-02-21T19:27:00
captnibby1234	JMonkey Pavliks	per	neg-towards	-2.172222222	"PS: And dont be giving me your crappy ""interracial genocide"" theory because it fails on MULTIPLE LEVELS. <img src=""http://static.tsrfiles.co.uk/images/smilies/yep.gif"" alt="":yep:""/>"	2009-02-21T19:27:00
captnibby1234	NAZI party	org	neg-towards	-0.523333333	"Countries will brand the UK as the new ""Nazi Country"" and trade barriers will be put up against britain."	2009-02-21T15:27:00
captnibby1234	Obama	per	neg-towards	-1.168888889	Obama will cut ALL relationships with the UK no doubt about that.	2009-02-21T15:27:00
captnibby1234	Obama	per	pos-towards	2.02	The USA will immediately cease to be friends with the UK under Obama.	2009-02-21T15:27:00
captnibby1234	Obama	per	pos-towards	2.09	Obama will cut ALL relationships with the UK no doubt about that.	2009-02-21T15:27:00
captnibby1234	people	per	pos-towards	2.424444444	Its a free country and people can do what they please.	2009-02-21T15:27:00
captnibby1234	person	per	neg-towards	-0.647777778	"As the BNP will kick out every single non white person whether born here or not, this will MASSIVELY crumble the economy. 10s of millions of jobs will be lost."	2009-02-21T15:27:00
captnibby1234	someone	per	neg-towards	-1.324444444	Take your racist crap to someone who CARES	2009-02-21T19:27:00
captnibby1234	Sunni Muslim	per	neg-towards	-2.18	Same but the BNP shouldnt be given the power to do that...oh wait..they should as they would create even more anger amongst the muslims - especially the middle east!	2009-02-21T19:30:00
captnibby1234	Sunni Muslim	per	pos-towards	1.281111111	Same but the BNP shouldnt be given the power to do that...oh wait..they should as they would create even more anger amongst the muslims - especially the middle east!	2009-02-21T19:30:00
captnibby1234	United States	gpe	neg-towards	-0.515555556	The USA will immediately cease to be friends with the UK under Obama.	2009-02-21T15:27:00
captnibby1234	United States	gpe	pos-towards	2.02	The USA will immediately cease to be friends with the UK under Obama.	2009-02-21T15:27:00
Chillaxer	AA Gill	per	pos-towards	1.273333333	"There's an interesting book by AA Gill when he say that the english are driven primarily by anger, and behave like a spurned lover to Europe."	2011-07-31T17:50:00
Chillaxer	Americans	per	neg-towards	-1.643333333	"Exactly, Americans have trouble with not taking things too seriously. <img src=""http://static.tsrfiles.co.uk/images/smilies/rolleyes.gif"" alt="":rolleyes:""/>"	2011-07-31T16:16:00
Chillaxer	Americans	per	neg-towards	-2.055555556	"Yes some Americans visit Europe, some are also extremely rude when they are here, and many actualy do hate and lecture Europe."	2011-07-31T16:55:00
Chillaxer	Americans	per	neg-towards	-2.071111111	"Some Americans might not like the stat, but the surveys on mixed marriages, attitudes to evolution, creationism etc show it all."	2011-07-31T22:35:00
Chillaxer	Americans	per	pos-towards	1.848888889	"That's just what Americans like the convince themselves about Europe to make themselves feel high and mighty, because we don't have to go around with fake emotions all the time."	2011-07-31T15:21:00
Chillaxer	Americans	per	pos-towards	1.848888889	"I dunno what you mean about 'special and powerful' it's nothing I've said here, although I'm a patriot yes, but your phrasing is telling, you may have a chip on your shoulder about us like many Americans do."	2011-07-31T16:14:00
Chillaxer	Americans	per	pos-towards	0.596666667	That's different to the middle/upper class Americans who like to treat waiters and others in public like the **** on their shoe.	2011-07-31T17:03:00
Chillaxer	Americans	per	pos-towards	1.724444444	"And again, there is not the yobbishness but plenty of treating people like crap from Americans."	2011-07-31T17:26:00
Chillaxer	Americans	per	pos-towards	0.876666667	I guess African Americans just see a different way that Black Brits fit in and are interested by it.	2011-07-31T17:50:00
Chillaxer	Americans	per	pos-towards	-0.041111111	"Wasn't just talking about tourist behaviour, was also comparing professional clasas Americans who live here with our middle class, different people."	2011-07-31T17:59:00
Chillaxer	Americans	per	pos-towards	1.848888889	"Some Americans might not like the stat, but the surveys on mixed marriages, attitudes to evolution, creationism etc show it all."	2011-07-31T22:35:00
Chillaxer	Australia	gpe	pos-towards	1.848888889	"For my money, might be speculation, but it seems like Australia has less identity no and is more americanised and globalised."	2011-07-31T22:28:00
Chillaxer	Black Brits	per	pos-towards	0.884444444	I guess African Americans just see a different way that Black Brits fit in and are interested by it.	2011-07-31T17:50:00
Chillaxer	Blair	per	neg-towards	-2.343333333	Halfway betwen the US and the EU was Blair's useless position.	2011-07-31T16:14:00
Chillaxer	Brtish	per	pos-towards	0.557777778	Maybe they have such a pronounced religuous culture and self-righteousness because the people who came over were escaping from something terrible.	2011-07-31T17:09:00
Chillaxer	chain	org	pos-towards	1.514444444	It's why I'd rather go in my distinctive local pub where the staff are real than some American chain.	2011-07-30T17:35:00
Chillaxer	chains	org	neg-towards	-2.351111111	It's like what you said about 'because they want something'-that's what I hate about chains and American service	2011-07-30T17:40:00
Chillaxer	chavs	per	pos-towards	1.848888889	"Like I say chavs, a minority."	2011-07-31T17:59:00
Chillaxer	colony	gpe	neg-towards	-0.15	"In reality we are no worse than any country, just that we speak their language and theya re an ex colony therefore they hate us."	2011-07-31T16:31:00
Chillaxer	colony	gpe	pos-towards	0.962222222	"In reality we are no worse than any country, just that we speak their language and theya re an ex colony therefore they hate us."	2011-07-31T16:31:00
Chillaxer	countries	gpe	neg-towards	-1.503333333	Same goes for who they undercut and dump their media products on countries.	2011-07-31T16:31:00
Chillaxer	countries	gpe	neg-towards	-2.351111111	The reasons countries like France are hated by the US is they don't stand for their crap in this egard or any more important one like foreign policy.	2011-07-31T16:31:00
Chillaxer	countries	gpe	neg-towards	-2.226666667	"They do that by undercutting stuff, there's no option for poor countries, smaller countries."	2011-07-31T16:51:00
Chillaxer	countries	gpe	pos-towards	2.245555556	"So Europeans who are proud of their countries are offended when other people in our countries, certanly politicans, encourage this, and don't show pride for their own nation."	2011-07-31T16:39:00
Chillaxer	countries	gpe	pos-towards	2.206666667	"And they do take liberties and bully towards countries that disagree with them, because they are spoilt for power right now."	2011-07-31T16:55:00
Chillaxer	country	gpe	neg-towards	-2.008888889	"In reality we are no worse than any country, just that we speak their language and theya re an ex colony therefore they hate us."	2011-07-31T16:31:00
Chillaxer	couples	per	neg-towards	-0.328888889	"They have many problems there and in the US with things like attitude to racially mixed couples, relgious bigotry etc."	2011-07-31T17:59:00
Chillaxer	DYKWIA	per	neg-towards	-0.5	"Oh, I was confusing you with Chillaxer's comments - neither of you have avatars so you're easily confused."	2011-07-31T17:05:00
Chillaxer	DYKWIA	per	pos-towards	0.915555556	"Oh, I was confusing you with Chillaxer's comments - neither of you have avatars so you're easily confused."	2011-07-31T17:05:00
Chillaxer	England	gpe	pos-towards	1.934444444	"There are many areas where England has been a leader in tolerance and non-prejudicial treatment, along with the likes of Scandinavia."	2011-07-31T17:59:00
Chillaxer	England	gpe	pos-towards	0.713333333	I guess the hardcore 'thinks australian drinks australian' type doesn't come over here though.	2011-07-31T18:04:00
Chillaxer	Europeans	per	neg-towards	-1.853333333	"So Europeans who are proud of their countries are offended when other people in our countries, certanly politicans, encourage this, and don't show pride for their own nation."	2011-07-31T16:39:00
Chillaxer	Europeans	per	pos-towards	1.654444444	"So Europeans who are proud of their countries are offended when other people in our countries, certanly politicans, encourage this, and don't show pride for their own nation."	2011-07-31T16:39:00
Chillaxer	everyone	per	neg-towards	-0.756666667	"Going on about the Brits forcing their langauge on everyone, thinking they are better etc."	2011-07-31T16:31:00
Chillaxer	everyone	per	neg-towards	-0.22	"I kniow some were occupied, but....nevertheless we are not the demons everyone makes out in Europe."	2011-07-31T17:59:00
Chillaxer	France	gpe	pos-towards	1.848888889	The reasons countries like France are hated by the US is they don't stand for their crap in this egard or any more important one like foreign policy.	2011-07-31T16:31:00
Chillaxer	France	gpe	pos-towards	2.782222222	I know many French people who love it here and don't want to go back.	2011-07-31T17:12:00
Chillaxer	Fremantle	org	pos-towards	1.553333333	"My Dad was talking about Fremantle near Perth out there, how they have tons of Irish pubs and music."	2011-07-31T22:28:00
Chillaxer	French	per	pos-towards	1.304444444	"and the IRA support is weird, but there is hatred of us, they say the French are more important, but we're hardly peanuts are we."	2011-07-31T17:30:00
Chillaxer	gang	per	neg-towards	-1.301111111	"I always thought it was black people in this country lookingto African American culture, which was a shame because they were better integrated, their is an issue with glamourising being the oppressed, gang and gun culture etc."	2011-07-31T17:50:00
Chillaxer	Germans	per	pos-towards	1.848888889	But I've seen Dutch and Germans like this too.	2011-07-31T17:03:00
Chillaxer	Great Britain	gpe	neg-towards	-0.36	"Well the UK doesn't enforce identity, it's becaue it's too obsessed with appeasment and mjulticulturalism."	2011-07-31T16:14:00
Chillaxer	Great Britain	gpe	neg-towards	-0.297777778	"Some hark back to Britain a lot, some don;t care."	2011-07-31T18:04:00
Chillaxer	Great Britain	gpe	pos-towards	1.11	"Well the UK doesn't enforce identity, it's becaue it's too obsessed with appeasment and mjulticulturalism."	2011-07-31T16:14:00
Chillaxer	Great Britain	gpe	pos-towards	2.035555556	"Britain isn't eh hell of uncivilised people and atttiudes some people would like to make out, just because we've got a yob culture."	2011-07-31T17:59:00
Chillaxer	Greece	gpe	neg-towards	-1.542222222	"I won't deny that there are pissheads and yobs from the UK n Spain, Greece etc, idiots."	2011-07-31T17:03:00
Chillaxer	he	per	pos-towards	1.848888889	"My Dad told me about mountaineering in Norway, small town in norway on a summer night, and he'd never seen anything like it."	2011-07-31T17:34:00
Chillaxer	home	fac	pos-towards	1.848888889	"I have heard Aussies say that coming to England was like coming home, and they settle."	2011-07-31T18:04:00
Chillaxer	IRA	org	pos-towards	2.354444444	"Look at the enthusiastic funding of the IRA based on, in many cases, spurious links to Ireland."	2011-07-31T17:09:00
Chillaxer	Irish	gpe	neg-towards	-2.351111111	"There is an added frustation in the English, in that we see ourselves as perfectly decent, yet our surrounded by countries like Ireland, Scotland and Europe who hate us, and of course our ex-colonies becuase of history."	2011-07-31T17:50:00
Chillaxer	Irish	gpe	pos-towards	1.848888889	"There is an added frustation in the English, in that we see ourselves as perfectly decent, yet our surrounded by countries like Ireland, Scotland and Europe who hate us, and of course our ex-colonies becuase of history."	2011-07-31T17:50:00
Chillaxer	Irish	gpe	pos-towards	2.323333333	"My Dad was talking about Fremantle near Perth out there, how they have tons of Irish pubs and music."	2011-07-31T22:28:00
Chillaxer	itself	org	neg-towards	-0.344444444	"But besides, the UK does not make anywhere near the clams for itself, even relative to stature, population, that the US does."	2011-07-31T16:42:00
Chillaxer	kids	per	pos-towards	1.53	"Le Pen got a third of the vote in France, and Boris Becker having a black partner and kids with her was a big deal to Germans."	2011-07-31T22:35:00
Chillaxer	Le Pen	per	neg-towards	-0.577777778	"I genuinely do believe it's this that at least partly drives some of their aggressive actions on a world stage, and love of trying to dictate to us."	2011-07-31T16:14:00
Chillaxer	Le Pen	per	neg-towards	-1.977777778	"What you say is true, there is a paranoia about us, and I think it may have driven their attitude to be badder than us on the world stage."	2011-07-31T17:09:00
Chillaxer	Le Pen	per	neg-towards	-2.46	"and the IRA support is weird, but there is hatred of us, they say the French are more important, but we're hardly peanuts are we."	2011-07-31T17:30:00
Chillaxer	Le Pen	per	neg-towards	-2.351111111	"There is an added frustation in the English, in that we see ourselves as perfectly decent, yet our surrounded by countries like Ireland, Scotland and Europe who hate us, and of course our ex-colonies becuase of history."	2011-07-31T17:50:00
Chillaxer	Le Pen	per	pos-towards	1.281111111	"You'll find some of the same post colonial english hatred in some Australians, though there are those who are fond of us."	2011-07-31T17:30:00
Chillaxer	lover	per	pos-towards	1.848888889	"There's an interesting book by AA Gill when he say that the english are driven primarily by anger, and behave like a spurned lover to Europe."	2011-07-31T17:50:00
Chillaxer	Melbourne	gpe	pos-towards	0.752222222	"I would really like to see certain parts, Melbourne, and Tasmania as well maybe."	2011-07-31T22:28:00
Chillaxer	nation	gpe	pos-towards	1.444444444	"So Europeans who are proud of their countries are offended when other people in our countries, certanly politicans, encourage this, and don't show pride for their own nation."	2011-07-31T16:39:00
Chillaxer	Northern European	gpe	neg-towards	-2.055555556	"Yes some Americans visit Europe, some are also extremely rude when they are here, and many actualy do hate and lecture Europe."	2011-07-31T16:55:00
Chillaxer	Northern European	gpe	neg-towards	-1.697777778	We are not the wicked sinners of Europe and what people make out.	2011-07-31T17:59:00
Chillaxer	Northern European	gpe	pos-towards	0.744444444	they said the unification of states like in the US was unfathomable in Europe but it may well happen.	2011-07-31T16:04:00
Chillaxer	Northern European	gpe	pos-towards	0.907777778	"Well, i'd rather have us either fully engaged in europe or out(preferably the latter), they've done neither."	2011-07-31T16:14:00
Chillaxer	Northern European	gpe	pos-towards	1.848888889	"But yeah, long term, that's entirely possible, it's very young country and is evolving like europe was."	2011-07-31T16:47:00
Chillaxer	Northern European	gpe	pos-towards	1.848888889	"There's an interesting book by AA Gill when he say that the english are driven primarily by anger, and behave like a spurned lover to Europe."	2011-07-31T17:50:00
Chillaxer	Norway	gpe	pos-towards	0.915555556	"My Dad told me about mountaineering in Norway, small town in norway on a summer night, and he'd never seen anything like it."	2011-07-31T17:34:00
Chillaxer	NY	org	pos-towards	1.04	I thought NY was supposed to be lush.	2011-07-30T16:50:00
Chillaxer	people	per	neg-towards	-1.433333333	"As for the store peopl, it depends, I hate pushy people, giving me some fake speil, and trying to get a tip or whatever."	2011-07-30T17:35:00
Chillaxer	people	per	neg-towards	-1.448888889	Eventually more people will grow tired of it.	2011-07-31T16:31:00
Chillaxer	people	per	neg-towards	-1.876666667	"I'm not going to get into will it break up, that was a cursory comment, but it will decline in power, it's had power short term and pissed off too many people."	2011-07-31T16:31:00
Chillaxer	people	per	neg-towards	-1.581111111	So inevitably they irritate people.	2011-07-31T16:51:00
Chillaxer	people	per	neg-towards	-0.601111111	"Wasn't just talking about tourist behaviour, was also comparing professional clasas Americans who live here with our middle class, different people."	2011-07-31T17:59:00
